SETTLEMENTDATE,RRP
1/01/2018 0:30,107.17
1/01/2018 1:00,103.31
1/01/2018 1:30,88.2
1/01/2018 2:00,85.24
1/01/2018 2:30,81.75
1/01/2018 3:00,80.89
1/01/2018 3:30,83.41
1/01/2018 4:00,80.1
1/01/2018 4:30,78.41
1/01/2018 5:00,80.07
1/01/2018 5:30,77.77
1/01/2018 6:00,73.22
1/01/2018 6:30,77.44
1/01/2018 7:00,79.88
1/01/2018 7:30,79.46
1/01/2018 8:00,79.25
1/01/2018 8:30,78.9
1/01/2018 9:00,78.61
1/01/2018 9:30,82.27
1/01/2018 10:00,80.18
1/01/2018 10:30,79.73
1/01/2018 11:00,83.37
1/01/2018 11:30,79.9
1/01/2018 12:00,72
1/01/2018 12:30,69.15
1/01/2018 13:00,73.8
1/01/2018 13:30,79.78
1/01/2018 14:00,78.2
1/01/2018 14:30,75.95
1/01/2018 15:00,69.45
1/01/2018 15:30,74.38
1/01/2018 16:00,78.27
1/01/2018 16:30,71.08
1/01/2018 17:00,73.26
1/01/2018 17:30,69.3
1/01/2018 18:00,67.88
1/01/2018 18:30,65.79
1/01/2018 19:00,70.03
1/01/2018 19:30,68.34
1/01/2018 20:00,77.99
1/01/2018 20:30,83.21
1/01/2018 21:00,76.64
1/01/2018 21:30,78.28
1/01/2018 22:00,72.1
1/01/2018 22:30,69.18
1/01/2018 23:00,63.64
1/01/2018 23:30,64.48
2/01/2018 0:00,63.47
2/01/2018 0:30,61.99
2/01/2018 1:00,60.85
2/01/2018 1:30,54.84
2/01/2018 2:00,58.33
2/01/2018 2:30,59.41
2/01/2018 3:00,61.52
2/01/2018 3:30,60.31
2/01/2018 4:00,61.59
2/01/2018 4:30,56.89
2/01/2018 5:00,73.86
2/01/2018 5:30,74.75
2/01/2018 6:00,76.61
2/01/2018 6:30,74.65
2/01/2018 7:00,84.64
2/01/2018 7:30,81.62
2/01/2018 8:00,80.3
2/01/2018 8:30,82.1
2/01/2018 9:00,86.01
2/01/2018 9:30,81.08
2/01/2018 10:00,71.8
2/01/2018 10:30,71.67
2/01/2018 11:00,73.59
2/01/2018 11:30,74.69
2/01/2018 12:00,77.3
2/01/2018 12:30,76.14
2/01/2018 13:00,73.68
2/01/2018 13:30,76.93
2/01/2018 14:00,66.33
2/01/2018 14:30,69.8
2/01/2018 15:00,62.95
2/01/2018 15:30,70.42
2/01/2018 16:00,66.62
2/01/2018 16:30,67.9
2/01/2018 17:00,64.81
2/01/2018 17:30,60.95
2/01/2018 18:00,62.57
2/01/2018 18:30,69.39
2/01/2018 19:00,72.9
2/01/2018 19:30,65.68
2/01/2018 20:00,74.68
2/01/2018 20:30,77.18
2/01/2018 21:00,68.47
2/01/2018 21:30,65.3
2/01/2018 22:00,60.84
2/01/2018 22:30,63.64
2/01/2018 23:00,62.58
2/01/2018 23:30,64.52
3/01/2018 0:00,69.22
3/01/2018 0:30,61.22
3/01/2018 1:00,57.62
3/01/2018 1:30,48.87
3/01/2018 2:00,49.07
3/01/2018 2:30,52.28
3/01/2018 3:00,52.59
3/01/2018 3:30,54.81
3/01/2018 4:00,57.12
3/01/2018 4:30,59.87
3/01/2018 5:00,59.5
3/01/2018 5:30,66.58
3/01/2018 6:00,66.95
3/01/2018 6:30,70.51
3/01/2018 7:00,74.46
3/01/2018 7:30,77.2
3/01/2018 8:00,75.02
3/01/2018 8:30,76.55
3/01/2018 9:00,78.55
3/01/2018 9:30,80.6
3/01/2018 10:00,80.67
3/01/2018 10:30,78.74
3/01/2018 11:00,82.44
3/01/2018 11:30,79.88
3/01/2018 12:00,82.02
3/01/2018 12:30,77.77
3/01/2018 13:00,77.27
3/01/2018 13:30,76.91
3/01/2018 14:00,81.07
3/01/2018 14:30,77.22
3/01/2018 15:00,77.46
3/01/2018 15:30,73.44
3/01/2018 16:00,73.39
3/01/2018 16:30,72.89
3/01/2018 17:00,75.13
3/01/2018 17:30,74.26
3/01/2018 18:00,70.99
3/01/2018 18:30,78.71
3/01/2018 19:00,81.34
3/01/2018 19:30,83.18
3/01/2018 20:00,76.1
3/01/2018 20:30,68.93
3/01/2018 21:00,65.46
3/01/2018 21:30,65.08
3/01/2018 22:00,64.21
3/01/2018 22:30,62.85
3/01/2018 23:00,63.8
3/01/2018 23:30,65.99
4/01/2018 0:00,70.42
4/01/2018 0:30,65.54
4/01/2018 1:00,62.57
4/01/2018 1:30,51.44
4/01/2018 2:00,53.2
4/01/2018 2:30,56.09
4/01/2018 3:00,56.52
4/01/2018 3:30,42.39
4/01/2018 4:00,54.99
4/01/2018 4:30,55.29
4/01/2018 5:00,56.9
4/01/2018 5:30,62.54
4/01/2018 6:00,63.81
4/01/2018 6:30,72.93
4/01/2018 7:00,86.71
4/01/2018 7:30,85.29
4/01/2018 8:00,103.82
4/01/2018 8:30,96.42
4/01/2018 9:00,99.2
4/01/2018 9:30,89.04
4/01/2018 10:00,90.58
4/01/2018 10:30,94.45
4/01/2018 11:00,109.22
4/01/2018 11:30,105.09
4/01/2018 12:00,97.83
4/01/2018 12:30,80.12
4/01/2018 13:00,88.37
4/01/2018 13:30,82.84
4/01/2018 14:00,95.12
4/01/2018 14:30,105.38
4/01/2018 15:00,94.92
4/01/2018 15:30,112.68
4/01/2018 16:00,113.92
4/01/2018 16:30,98.5
4/01/2018 17:00,108.84
4/01/2018 17:30,107.99
4/01/2018 18:00,106.15
4/01/2018 18:30,86.48
4/01/2018 19:00,76.05
4/01/2018 19:30,95.85
4/01/2018 20:00,105
4/01/2018 20:30,105
4/01/2018 21:00,97.93
4/01/2018 21:30,76.66
4/01/2018 22:00,71.59
4/01/2018 22:30,67.95
4/01/2018 23:00,66.06
4/01/2018 23:30,83.63
5/01/2018 0:00,122.27
5/01/2018 0:30,86.32
5/01/2018 1:00,82.35
5/01/2018 1:30,66.27
5/01/2018 2:00,62.52
5/01/2018 2:30,60.31
5/01/2018 3:00,61.4
5/01/2018 3:30,59.39
5/01/2018 4:00,55.88
5/01/2018 4:30,60.04
5/01/2018 5:00,58.32
5/01/2018 5:30,61.89
5/01/2018 6:00,74.26
5/01/2018 6:30,114.25
5/01/2018 7:00,118.22
5/01/2018 7:30,80.75
5/01/2018 8:00,91.48
5/01/2018 8:30,98.51
5/01/2018 9:00,100.41
5/01/2018 9:30,95.96
5/01/2018 10:00,82.8
5/01/2018 10:30,83.26
5/01/2018 11:00,79.65
5/01/2018 11:30,88.63
5/01/2018 12:00,104.21
5/01/2018 12:30,126.26
5/01/2018 13:00,103.05
5/01/2018 13:30,116.05
5/01/2018 14:00,113.04
5/01/2018 14:30,134.85
5/01/2018 15:00,112.55
5/01/2018 15:30,118.69
5/01/2018 16:00,132.96
5/01/2018 16:30,135.19
5/01/2018 17:00,157.66
5/01/2018 17:30,143.34
5/01/2018 18:00,189.37
5/01/2018 18:30,294.4
5/01/2018 19:00,132.55
5/01/2018 19:30,110.49
5/01/2018 20:00,122.05
5/01/2018 20:30,116.8
5/01/2018 21:00,96.03
5/01/2018 21:30,91.99
5/01/2018 22:00,93.6
5/01/2018 22:30,78.55
5/01/2018 23:00,79.13
5/01/2018 23:30,78
6/01/2018 0:00,76.77
6/01/2018 0:30,73.48
6/01/2018 1:00,67.66
6/01/2018 1:30,63.67
6/01/2018 2:00,55.69
6/01/2018 2:30,46
6/01/2018 3:00,43.51
6/01/2018 3:30,41.07
6/01/2018 4:00,40.23
6/01/2018 4:30,42.5
6/01/2018 5:00,39.8
6/01/2018 5:30,39.74
6/01/2018 6:00,39.88
6/01/2018 6:30,49.73
6/01/2018 7:00,53.98
6/01/2018 7:30,58.29
6/01/2018 8:00,63.84
6/01/2018 8:30,67.45
6/01/2018 9:00,74.54
6/01/2018 9:30,84.08
6/01/2018 10:00,89.39
6/01/2018 10:30,76.37
6/01/2018 11:00,67.16
6/01/2018 11:30,77.49
6/01/2018 12:00,75.82
6/01/2018 12:30,81.11
6/01/2018 13:00,90.46
6/01/2018 13:30,89.27
6/01/2018 14:00,90.34
6/01/2018 14:30,91.24
6/01/2018 15:00,100.16
6/01/2018 15:30,105.41
6/01/2018 16:00,112.85
6/01/2018 16:30,113.69
